date;id
2017-10-06 23:59;916422800356839424
2017-10-06 23:59;916422778496126976
2017-10-06 23:59;916422668655632384
2017-10-06 23:59;916422587726618625
2017-10-06 23:57;916422194984636418
2017-10-06 23:56;916422058082410497
2017-10-06 23:56;916421931473219587
2017-10-06 23:56;916421892021596161
2017-10-06 23:54;916421500042964992
2017-10-06 23:53;916421105954557953
2017-10-06 23:52;916420903264714758
2017-10-06 23:52;916420895169753089
2017-10-06 23:52;916420841453359105
2017-10-06 23:52;916420828958543872
2017-10-06 23:51;916420788110028800
2017-10-06 23:51;916420772247171072
2017-10-06 23:51;916420644966891520
2017-10-06 23:51;916420615598358528
2017-10-06 23:51;916420608912629760
2017-10-06 23:51;916420578738954241
2017-10-06 23:50;916420345766318080
2017-10-06 23:50;916420344147316736
2017-10-06 23:49;916420080287801345
2017-10-06 23:48;916419856039366656
2017-10-06 23:48;916419796434001920
2017-10-06 23:47;916419716440141824
2017-10-06 23:47;916419690637025280
2017-10-06 23:47;916419574760919046
2017-10-06 23:47;916419548055818240
2017-10-06 23:46;916419538190782464
2017-10-06 23:46;916419526442475520
2017-10-06 23:46;916419493328510976
2017-10-06 23:46;916419404824428544
2017-10-06 23:46;916419315447898112
2017-10-06 23:45;916419218001858561
2017-10-06 23:45;916419061940129797
2017-10-06 23:45;916419050061910018
2017-10-06 23:44;916418994331979776
2017-10-06 23:44;916418898295214085
2017-10-06 23:44;916418824941064194
2017-10-06 23:43;916418768477110272
2017-10-06 23:43;916418713796186113
2017-10-06 23:43;916418699959169024
2017-10-06 23:42;916418527531360257
2017-10-06 23:42;916418443074732033
2017-10-06 23:41;916418260287049730
2017-10-06 23:41;916418205480087554
2017-10-06 23:41;916418182285578241
2017-10-06 23:41;916418116560748544
2017-10-06 23:40;916418012793712640
2017-10-06 23:40;916418002941206528
2017-10-06 23:40;916417912612708353
2017-10-06 23:39;916417732274405377
2017-10-06 23:39;916417713693773825
2017-10-06 23:39;916417637319458816
2017-10-06 23:38;916417490695131138
2017-10-06 23:38;916417375427162112
2017-10-06 23:38;916417342401339392
2017-10-06 23:37;916417269709799424
2017-10-06 23:37;916417145063448576
2017-10-06 23:37;916417120489148417
2017-10-06 23:37;916417042789666816
2017-10-06 23:36;916417019163049991
2017-10-06 23:36;916417018961842176
2017-10-06 23:36;916416950254923776
2017-10-06 23:36;916416869862723584
2017-10-06 23:36;916416838778712065
2017-10-06 23:35;916416666854096896
2017-10-06 23:35;916416566421532673
2017-10-06 23:35;916416526663610368
2017-10-06 23:34;916416490135371776
2017-10-06 23:34;916416465502375937
2017-10-06 23:34;916416408329764864
2017-10-06 23:34;916416362846785536
2017-10-06 23:34;916416319217684480
2017-10-06 23:34;916416318106230784
2017-10-06 23:34;916416295536652289
2017-10-06 23:34;916416276842668032
2017-10-06 23:33;916416036328689665
2017-10-06 23:32;916415800512151552
2017-10-06 23:32;916415770271268864
2017-10-06 23:31;916415766148403200
2017-10-06 23:31;916415612913627137
2017-10-06 23:31;916415548895850496
2017-10-06 23:30;916415511390490625
2017-10-06 23:30;916415454989750272
2017-10-06 23:30;916415405815746560
2017-10-06 23:30;916415396189700098
2017-10-06 23:30;916415332801306624
2017-10-06 23:30;916415304049283072
2017-10-06 23:30;916415296067399680
2017-10-06 23:30;916415281227956226
2017-10-06 23:30;916415278430523394
